2023-11-16 11:30:24,349 INFO    MainThread:43799 [wandb_setup.py:_flush():69] setting env: {'run_group': 'dev', 'project': 'experiment_3'}
2023-11-16 11:30:24,350 INFO    MainThread:43799 [wandb_setup.py:_flush():69] setting login settings: {}
2023-11-16 11:30:24,350 INFO    MainThread:43799 [wandb_init.py:_log_setup():334] Logging user logs to /home/carlotta/cd0581-building-a-reproducible-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_3/starter/download_data/wandb/run-20231116_113024-7ift9f2m/logs/debug.log
2023-11-16 11:30:24,350 INFO    MainThread:43799 [wandb_init.py:_log_setup():335] Logging internal logs to /home/carlotta/cd0581-building-a-reproducible-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_3/starter/download_data/wandb/run-20231116_113024-7ift9f2m/logs/debug-internal.log
2023-11-16 11:30:24,350 INFO    MainThread:43799 [wandb_init.py:init():367] calling init triggers
2023-11-16 11:30:24,350 INFO    MainThread:43799 [wandb_init.py:init():372] wandb.init called with sweep_config: {}
config: {}
2023-11-16 11:30:24,350 INFO    MainThread:43799 [wandb_init.py:init():416] starting backend
2023-11-16 11:30:24,350 INFO    MainThread:43799 [backend.py:_multiprocessing_setup():69] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-11-16 11:30:24,358 INFO    MainThread:43799 [backend.py:ensure_launched():123] starting backend process...
2023-11-16 11:30:24,362 INFO    MainThread:43799 [backend.py:ensure_launched():127] started backend process with pid: 43818
2023-11-16 11:30:24,363 INFO    MainThread:43799 [wandb_init.py:init():421] backend started and connected
2023-11-16 11:30:24,364 INFO    MainThread:43799 [wandb_init.py:init():461] updated telemetry
2023-11-16 11:30:24,364 INFO    MainThread:43799 [wandb_init.py:init():480] communicating current version
2023-11-16 11:30:24,901 INFO    MainThread:43799 [wandb_init.py:init():485] got version response upgrade_message: "wandb version 0.16.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-11-16 11:30:24,901 INFO    MainThread:43799 [wandb_init.py:init():493] communicating run to backend with 30 second timeout
2023-11-16 11:30:25,398 INFO    MainThread:43799 [wandb_init.py:init():518] starting run threads in backend
2023-11-16 11:30:25,424 INFO    MainThread:43799 [wandb_run.py:_console_start():1476] atexit reg
2023-11-16 11:30:25,425 INFO    MainThread:43799 [wandb_run.py:_redirect():1339] redirect: SettingsConsole.REDIRECT
2023-11-16 11:30:25,425 INFO    MainThread:43799 [wandb_run.py:_redirect():1344] Redirecting console.
2023-11-16 11:30:25,425 INFO    MainThread:43799 [redirect.py:install():213] install start
2023-11-16 11:30:25,426 INFO    MainThread:43799 [redirect.py:install():228] install stop
2023-11-16 11:30:25,426 INFO    MainThread:43799 [redirect.py:install():213] install start
2023-11-16 11:30:25,426 INFO    MainThread:43799 [redirect.py:install():228] install stop
2023-11-16 11:30:25,426 INFO    MainThread:43799 [wandb_run.py:_redirect():1390] Redirects installed.
2023-11-16 11:30:25,427 INFO    MainThread:43799 [wandb_init.py:init():542] run started, returning control to user process
2023-11-16 11:30:25,821 INFO    MainThread:43799 [wandb_run.py:finish():1135] finishing run charly-ko/experiment_3/7ift9f2m
